endpoint,model,symbol,n,events,interaction_log_hr,interaction_hr,interaction_hr_ci_low,interaction_hr_ci_high,interaction_p_value,interaction_ph_p_value,nivolumab_log_hr,nivolumab_p_value,everolimus_log_hr,everolimus_p_value,interaction_fdr,manual_tier,manuscript_role
OS,age_sex_mskcc_adjusted,PODXL,248,189,-0.2910011935998282,0.7475147857840386,0.5672858689615743,0.9850031272391991,0.038704886856452056,0.12437728814266481,-0.26365302163038606,0.010972595249078423,-0.009261859348391046,0.9147017213875331,0.38530671066652955,composition flag,podocyte/endothelial/renal compartment signal
OS,age_sex_mskcc_adjusted,CYFIP2,248,189,-0.31259476701612127,0.7315462992016772,0.5400798619965548,0.990890469230426,0.04347965805502631,0.37508749664280944,-0.24062297040826378,0.038338701901258015,0.022561078224672616,0.8184648250331673,0.38530671066652955,interpret cautiously,cytoskeletal and broad tumor-suppressor-like signal
OS,age_sex_mskcc_adjusted,KL,248,189,-0.2928108047374497,0.7461632979047154,0.5583729232268398,0.997110790979126,0.047756980987960995,0.779185835681058,-0.25649845702444807,0.011229390300476538,0.046807161057486946,0.648533687165507,0.38530671066652955,lead,renal epithelial/metabolic retention
OS,age_sex_mskcc_adjusted,ACADM,248,189,-0.29101419547773794,0.7475050667512412,0.5538894554525908,1.0088002566544685,0.05708247565430068,0.8403556539943939,-0.3088957066276732,0.006840047795098124,-0.02136458372293996,0.8243514236698519,0.38530671066652955,lead,fatty-acid oxidation and mitochondrial metabolism
OS,age_sex_mskcc_adjusted,IQGAP2,248,189,-0.27712076173481326,0.7579629586616364,0.560230278728042,1.0254851772872322,0.07236835427525544,0.9861828114873735,-0.29513659342200116,0.011498136593260015,-0.026085742630374248,0.7968280222868086,0.3907891130863794,interpret cautiously,cytoskeletal scaffold signal
OS,age_sex_mskcc_adjusted,HHLA2,248,189,-0.19741426605947082,0.8208505123600687,0.6280108424825089,1.072904348240697,0.1484814080575612,0.8157217518035307,-0.14040871836820945,0.15152184956098025,0.04398526599579831,0.6525482433534717,0.5241300479742772,interpret cautiously,immune-checkpoint paradox
OS,age_sex_mskcc_adjusted,TCIRG1,248,189,0.20930811515180556,1.232824792015128,0.9103557340594073,1.6695198491581773,0.17608835096005002,0.6677147223822381,0.31379137004144414,0.003546322307406154,0.04250307792940419,0.6945383019387594,0.5241300479742772,supporting risk,"lysosomal acidification, glycolytic/immune risk"
OS,age_sex_mskcc_adjusted,TEK,248,189,-0.1791095593761273,0.8360143011741349,0.6376746163420113,1.0960447442255055,0.19488808680955796,0.6631109353863691,-0.1401768309320722,0.08524371134808041,-0.026759509787919574,0.7960209723876057,0.5241300479742772,composition flag,endothelial/vascular composition
OS,age_sex_mskcc_adjusted,CADPS2,248,189,-0.19697755213868184,0.8212090674930135,0.6085715699909757,1.1081430119102424,0.19762668807740613,0.1298462429379887,-0.1365601503098005,0.17340265077014158,0.05141101351230705,0.6265551568010476,0.5241300479742772,do not highlight,weak ccRCC-specific biological support
OS,age_sex_mskcc_adjusted,FHOD1,248,189,0.2014362010348068,1.2231581983461195,0.8917518261436734,1.6777268454287195,0.21152714787131435,0.15293508903069153,-0.062029336273304266,0.5956722771753273,-0.18215324905896596,0.07799285004648254,0.5241300479742772,composition flag,stromal/EMT and actin-remodeling signal
OS,age_sex_mskcc_adjusted,CRYL1,248,189,-0.1962913429828662,0.8217727820648959,0.6031565158841498,1.1196273066084028,0.21353446398952033,0.7760370134195579,-0.23779787935923302,0.057226819270907364,-0.04686957888793312,0.6200369574839966,0.5241300479742772,lead,renal metabolic differentiation
OS,age_sex_mskcc_adjusted,DDC,248,189,-0.16750580590779568,0.8457717068020434,0.6391700629295034,1.1191540741884498,0.24112129330690585,0.290813310353381,-0.18304455354292484,0.0765418282530341,-0.050072967522574355,0.5808248640522744,0.5411129073273698,lead,amino-acid and biogenic-amine metabolism
OS,age_sex_mskcc_adjusted,C1QTNF6,248,189,0.18502721092969845,1.203251181265538,0.8717178975123188,1.6608737865181349,0.2605358442687336,0.5197088339684472,0.1722632972205262,0.13893698733882207,-0.023536452524247433,0.8438891223015388,0.5411129073273698,interpret cautiously,secreted inflammatory/metabolic risk
OS,age_sex_mskcc_adjusted,ACAT1,248,189,-0.15347304516129912,0.8577238836961703,0.6406661388706981,1.148320811772013,0.30256830747846875,0.47349376658543685,-0.2267107680146181,0.05283702285765258,-0.10127142924736326,0.2779555249589451,0.5835245929941897,lead,"ketone, acetyl-CoA, and mitochondrial metabolism"
OS,age_sex_mskcc_adjusted,FUT6,248,189,-0.13546623247573197,0.8733086519016882,0.6647223862060174,1.1473481521201097,0.3306294147686709,0.6807344976951359,-0.10792692510955837,0.24683955787703382,0.02148834921367066,0.8371841088270467,0.5951329465836077,do not highlight,weak and directionally fragile glycosylation signal
OS,age_sex_mskcc_adjusted,GJB1,248,189,-0.1327808882270398,0.8756569378343289,0.6522278300912107,1.1756245860747219,0.3769956541150027,0.8295563841574732,-0.0788839425506631,0.4208863562837617,-0.09238333354928151,0.36158120838086866,0.6038597138517275,interpret cautiously,gap-junction and epithelial-compartment association
OS,age_sex_mskcc_adjusted,EMCN,248,189,-0.13358550831915944,0.8749526500483921,0.6476973186661619,1.1819442782366714,0.3839851824401956,0.995598916701213,-0.27441120039441486,0.006541933810033785,-0.09797780071532564,0.38036817469866785,0.6038597138517275,composition flag,endothelial/vascular composition
OS,age_sex_mskcc_adjusted,IFFO1,248,189,0.13084688252515334,1.1397932456864774,0.8390050711860748,1.5484157218215353,0.40257314256781834,0.05831322469910215,0.04761764135126591,0.6791751843574254,-0.03751761792450945,0.7207240857493686,0.6038597138517275,do not highlight,weak ccRCC-specific biological support
OS,age_sex_mskcc_adjusted,PANK1,248,189,-0.11601388529723887,0.8904628588701553,0.6627322245915639,1.196447182745463,0.4414046274778894,0.6083058484549838,-0.13077801145262832,0.23738087097319438,-0.048520922937543176,0.6274302104812248,0.6272592074685797,supporting,CoA metabolism and mitochondrial function
OS,age_sex_mskcc_adjusted,GRAMD1A,248,189,0.11224427197849113,1.1187861153673597,0.8272087791667424,1.513139612951911,0.4662474464100217,0.25700712414582627,0.10799464992739627,0.26839941845632326,0.021358492147801736,0.8478560453358688,0.6294340526535294,interpret cautiously,cholesterol-contact-site biology
OS,age_sex_mskcc_adjusted,LTB4R,248,189,-0.08547004091456685,0.9180806474987058,0.6822729015237308,1.235388469085088,0.5725439372856409,0.5000564751217756,0.1016109201536576,0.3931445714460446,0.0778179430902428,0.39094870140440563,0.7293550298257881,composition flag,inflammatory and renal-compartment association
OS,age_sex_mskcc_adjusted,CLCN5,248,189,-0.07779285548784891,0.9251560476943824,0.6928145551692793,1.2354153159734935,0.5980428843637089,0.5785323419515278,-0.1342944004063369,0.19996474064627898,-0.06063045926227509,0.5054189494985807,0.7293550298257881,supporting,proximal-tubule endosomal/metabolic differentiation
OS,age_sex_mskcc_adjusted,LRBA,248,189,-0.07319833062828762,0.9294164799908504,0.6951605856494951,1.2426121548181739,0.6213024328145602,0.670096753704501,-0.11977144603122866,0.21181879311817264,-0.06992555376629025,0.5159112098928955,0.7293550298257881,do not highlight,immune-composition signal
